Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,34.7365,0.3811509956104078
2016년,7월,2016-07-01,44.7008,0.3002015712669321
2016년,8월,2016-08-01,45.8927,0.1738134030401232
2016년,9월,2016-09-01,43.0614,0.4275522551343467
2016년,10월,2016-10-01,44.9555,0.2122548147189369
2016년,11월,2016-11-01,42.6918,0.1863941419222166
2016년,12월,2016-12-01,49.4376,0.1893873780241353
2017년,1월,2017-01-01,62.5415,0.2146598587268324
2017년,2월,2017-02-01,60.0018,0.2224184824129818
2017년,3월,2017-03-01,48.8349,0.3055470155617994
2017년,4월,2017-04-01,55.4627,0.5682491658655207
2017년,5월,2017-05-01,55.8892,0.8500966605757263
2017년,6월,2017-06-01,56.8877,0.637692340909418
2017년,7월,2017-07-01,64.4026,0.4407482640131721
2017년,8월,2017-08-01,62.0904,0.3529472007530609
2017년,9월,2017-09-01,55.6885,0.293234776389063
2017년,10월,2017-10-01,62.0936,0.381223654502786
2017년,11월,2017-11-01,62.2604,0.4583690544788461
2017년,12월,2017-12-01,67.8905,0.3732563878505428
2018년,1월,2018-01-01,80.3816,0.2852521925441507
2018년,2월,2018-02-01,70.8318,0.1804945851624451
2018년,3월,2018-03-01,61.9196,0.2679374791388944
2018년,4월,2018-04-01,63.8523,0.1512656253662372
2018년,5월,2018-05-01,64.0355,0.1457580355417504
2018년,6월,2018-06-01,60.6162,0.065541408775535
2018년,7월,2018-07-01,60.7953,-0.0560117138127963
2018년,8월,2018-08-01,59.3941,-0.0434253926532925
2018년,9월,2018-09-01,47.9733,-0.1385420688292915
2018년,10월,2018-10-01,57.1176,-0.0801370833709109
2018년,11월,2018-11-01,58.8213,-0.055237357935381
2018년,12월,2018-12-01,68.1566,0.0039195469174626
2019년,1월,2019-01-01,77.9383,-0.0303962598405604
2019년,2월,2019-02-01,71.5804,0.0105686993694922
2019년,3월,2019-03-01,58.5586,-0.0542800664086977
2019년,4월,2019-04-01,56.6624,-0.1126020519229534
2019년,5월,2019-05-01,60.3394,-0.0577195461892231
2019년,6월,2019-06-01,61.1867,0.009411675426701
2019년,7월,2019-07-01,56.1675,-0.0761210159337975
2019년,8월,2019-08-01,30.873,-0.4802008953751299
2019년,9월,2019-09-01,20.1252,-0.5804916484794667
2019년,10월,2019-10-01,19.7281,-0.6546055856688656
2019년,11월,2019-11-01,20.5042,-0.6514153886432296
2019년,12월,2019-12-01,24.7959,-0.6361922396363668
2020년,1월,2020-01-01,31.6812,-0.593509224604591
2020년,2월,2020-02-01,14.3896,-0.7989729031969646
2020년,3월,2020-03-01,1.6669,-0.9715344970678944
2020년,4월,2020-04-01,0.0299,-0.9994723132094652
2020년,5월,2020-05-01,0.0018,-0.9999701687454632
2020년,6월,2020-06-01,0.0122,-0.9998006102633415
2020년,7월,2020-07-01,0.0294,-0.99947656562959
2020년,8월,2020-08-01,0.0749,-0.997573931914618
2020년,9월,2020-09-01,0.1426,-0.9929143561306224
2020년,10월,2020-10-01,0.2021,-0.989755729137626
2020년,11월,2020-11-01,0.2825,-0.986222334936257
2020년,12월,2020-12-01,0.2808,-0.988675547167072
2021년,1월,2021-01-01,0.2535,-0.9919984091511684
2021년,2월,2021-02-01,0.091,-0.99367598821371
2021년,3월,2021-03-01,0.1956,-0.882656428100066
2021년,4월,2021-04-01,0.1076,2.59866220735786
2021년,5월,2021-05-01,0.095,51.77777777777778
2021년,6월,2021-06-01,0.0835,5.844262295081967
2021년,7월,2021-07-01,0.1808,5.149659863945578
2021년,8월,2021-08-01,0.1647,1.1989319092122832
2021년,9월,2021-09-01,0.2224,0.5596072931276297
2021년,10월,2021-10-01,0.1921,-0.049480455220188
2021년,11월,2021-11-01,0.2021,-0.2846017699115044
2021년,12월,2021-12-01,0.1064,-0.621082621082621
2022년,1월,2022-01-01,0.1264,-0.5013806706114399
2022년,2월,2022-02-01,0.0913,0.0032967032967032
2022년,3월,2022-03-01,0.6694,2.422290388548057
2022년,4월,2022-04-01,0.7699,6.155204460966543
2022년,5월,2022-05-01,0.8805,8.26842105263158
2022년,6월,2022-06-01,1.1168,12.374850299401198
2022년,7월,2022-07-01,2.0384,10.27433628318584
2022년,8월,2022-08-01,2.8515,16.313296903460838
2022년,9월,2022-09-01,3.2764,13.732014388489208
2022년,10월,2022-10-01,12.2959,63.00780843310776
2022년,11월,2022-11-01,31.5421,155.07174666006927
2022년,12월,2022-12-01,45.6165,427.7265037593985
2023년,1월,2023-01-01,56.5251,446.19224683544303
2023년,2월,2023-02-01,56.8622,621.8061336254108
2023년,3월,2023-03-01,46.681,68.73558410516881
2023년,4월,2023-04-01,46.7,59.65722821145604
2023년,5월,2023-05-01,51.57,57.568994889267465
